,Account,Date,Text,Compound Score,Positive Score,Negative Score,Neutral Score
0,BBCBreaking,06/03/2018,"A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year o… https://t.co/jJPzEmXsNq",-0.8316,0.0,0.341,0.659
1,BBCBreaking,06/03/2018,Armed police cordon off Berlin Cathedral after an officer reportedly shot a man at the building https://t.co/DdbPH9rZVJ,0.0,0.0,0.0,1.0
2,BBCBreaking,06/01/2018,"Visa says cardholders should now be able to use their cards, with systems operating at ""close to normal"" levels, bl… https://t.co/tUahgaGGr0",0.0,0.0,0.0,1.0
3,BBCBreaking,06/01/2018,"Donald Trump's summit with Kim Jong-un on 12 June is back on, the US president says, a week after it was scrapped https://t.co/WfevC3zR8i",0.0,0.0,0.0,1.0
4,BBCBreaking,06/01/2018,Visa says some card payments are currently failing across the UK and elsewhere in Europe https://t.co/3IJ9nksdEc,-0.5106,0.0,0.18,0.82
5,BBCBreaking,06/01/2018,"Five big cats which escaped from a zoo in western Germany have been recaptured, reportedly with the help of a drone https://t.co/g32tKvh2qT",0.4019,0.124,0.0,0.876
6,BBCBreaking,06/01/2018,"Two lions, two tigers and a jaguar escape from a German zoo, with public warned to stay indoors, police say https://t.co/qUowA6ZZ4a",-0.1027,0.082,0.101,0.817
7,BBCBreaking,06/01/2018,"Spain's prime minister is forced out of his job, losing a no-confidence vote triggered by a corruption scandal https://t.co/T6sskEuPSj",-0.8176,0.0,0.378,0.622
8,BBCBreaking,05/31/2018,"Talks on summit between Trump and Kim Jong-un ""moving in the right direction"", secretary of state Mike Pompeo says https://t.co/PnxigeVi40",0.0,0.0,0.0,1.0
9,BBCBreaking,05/31/2018,"The US to put tariffs on steel and aluminium made by key allies, a move France says is ""unjustifiable and dangerous"" https://t.co/RuuMpmGgNJ",-0.4767,0.0,0.134,0.866
10,BBCBreaking,05/31/2018,"RT @BBCSport: Zinedine Zidane says he is stepping down as Real Madrid boss, just five days after leading them to a third straight Champions…",0.2263,0.079,0.0,0.921
11,BBCBreaking,05/31/2018,"Lithuania and Romania assisted CIA torture of al-Qaeda suspects, European Court of Human Rights rules https://t.co/VdnWsfigYS",-0.743,0.0,0.31,0.69
12,BBCBreaking,05/30/2018,"The moment Russian journalist Arkady Babchenko, who had been reported dead yesterday, appeared at a press conferenc… https://t.co/iHb6Rc1NCY",-0.6486,0.0,0.212,0.788
13,BBCBreaking,05/30/2018,"""Assassination"" of journalist Arkady Babchenko was ""staged to expose Russian agents"", says head of Ukraine's securi… https://t.co/SPcn5LgkRh",-0.1531,0.0,0.091,0.909
14,BBCBreaking,05/30/2018,"Russian journalist Arkady Babchenko, reportedly assassinated in Kiev on Tuesday, appears on TV alive and well https://t.co/Jq3liX4P2o",0.5719,0.239,0.0,0.761
15,BBCBreaking,05/29/2018,"""Abhorrent, repugnant"" - and cancelled. ABC drops Roseanne's show after star's racist tweet about an Obama aide https://t.co/2eutMyKysP",-0.7184,0.0,0.286,0.714
16,BBCBreaking,05/29/2018,"Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study https://t.co/3HplA9VkAB",-0.6705,0.0,0.231,0.769
17,BBCBreaking,05/29/2018,"Two police officers killed by gunman in Liège were both women, city's mayor confirms
https://t.co/WyTQaq20ss",-0.6705,0.0,0.243,0.757
18,BBCBreaking,05/29/2018,"Belgian authorities confirm they are treating the attack in Liège as terrorism 
https://t.co/d4uJcconBF",-0.8271,0.0,0.412,0.588
19,BBCBreaking,05/29/2018,"Two police officers shot dead in eastern Belgian city of Liège, senate chief says, with reports attacker is killed https://t.co/FTmHJQ5V71",-0.926,0.0,0.424,0.576
20,BBCBreaking,05/28/2018,Murder investigation launched after man was killed and several more injured when car hit people near Stockport club https://t.co/raUxSrvGY7,-0.9134,0.052,0.425,0.523
21,BBCBreaking,05/28/2018,"Man in his 80s dies after vehicle submerged in flood water in Walsall, police say https://t.co/8hmZZR6Ifh",0.0,0.0,0.0,1.0
22,BBCBreaking,05/28/2018,"Man arrested on suspicion of murder of woman, 31, and girl, 11, in Gloucester https://t.co/5W9CiZIqiz",-0.886,0.0,0.464,0.536
23,BBCBreaking,05/28/2018,"After his dramatic rescue of a young boy from a Paris balcony, Malian migrant Mamoudou Gassama is made a French cit… https://t.co/ki7aWgGtPQ",0.5106,0.155,0.0,0.845
24,BBCBreaking,05/27/2018,Italy PM-designate Guiseppe Conte gives up bid to form government amid reports president vetoed economy pick https://t.co/AbEoT2SdF0,0.0,0.0,0.0,1.0
25,BBCBreaking,05/26/2018,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

It's heartbreak for Liverpool as Real Madrid win their 13th Champions League title.

FT 3-1

https://t.co/Hr5J…",0.5423,0.268,0.138,0.595
26,BBCBreaking,05/26/2018,"The final result in Ireland's abortion reform referendum

Yes 1,429,981
No 723,632

https://t.co/urPAqRybLz https://t.co/8665LHVeOC",0.128,0.16,0.13,0.71
27,BBCBreaking,05/26/2018,Official result: Republic of Ireland votes resoundingly to overturn abortion ban with voters backing reform of cons… https://t.co/1ghSuV99Ff,-0.5423,0.053,0.174,0.773
28,BBCBreaking,05/26/2018,"Irish PM hails ""quiet revolution"" as early results point to ""resounding"" referendum vote for overturning abortion b… https://t.co/fW4uTOgwOc",0.0,0.0,0.0,1.0
29,BBCBreaking,05/26/2018,Leaders of both Koreas meet in border zone as efforts continue to reschedule Donald Trump's summit with Kim Jong-un https://t.co/ZNdh7ZZZAk,0.0,0.0,0.0,1.0
30,BBCBreaking,05/26/2018,'No' campaign spokesman accepts defeat in Ireland referendum which will allow liberalisation of abortion law… https://t.co/b8Fn4jPkTj,0.0516,0.208,0.149,0.644
31,BBCBreaking,05/25/2018,Exit polls suggest the Republic of Ireland has voted by a landslide to liberalise its strict abortion laws https://t.co/FeHK5CKrvI,0.0,0.0,0.0,1.0
32,BBCBreaking,05/25/2018,"A 95-year-old man arrested on suspicion of murder after female carer died of head injuries, London police say https://t.co/Wttf0ezBRU",-0.9325,0.0,0.5,0.5
33,BBCBreaking,05/25/2018,"Harvey Weinstein is charged with rape and a criminal sex act on two women, after months of sexual abuse allegations https://t.co/xKlFuMthOA",-0.9337,0.0,0.468,0.532
34,BBCBreaking,05/25/2018,Film producer Harvey Weinstein arrives at NY police station where he's expected to answer sexual misconduct charges https://t.co/SVJvYQ0BCT,-0.2732,0.0,0.11,0.89
35,BBCBreaking,05/25/2018,"Man who attacked D-Day veteran, 96, with hammer during raid on his home in Somerset found guilty of attempted murder https://t.co/LXYx1mLb9y",-0.8885,0.0,0.368,0.632
36,BBCBreaking,05/25/2018,Australia and Netherlands formally accuse Russia of responsibility for downing MH17 passenger jet in 2014 https://t.co/zyMC4Ccbyz,-0.2023,0.0,0.107,0.893
37,BBCBreaking,05/24/2018,"Hollywood mogul Harvey Weinstein expected to surrender to police on sexual misconduct charges, US media report https://t.co/NzeaFHi9FZ",-0.2732,0.0,0.116,0.884
38,BBCBreaking,05/24/2018,"""Hopefully positive things will be taking place... but if they don't, we are more ready than we have ever been befo… https://t.co/jgzyXyqNwm",0.7808,0.292,0.0,0.708
39,BBCBreaking,05/24/2018,Two men jailed for life for murder of four children in petrol bomb attack in Greater Manchester https://t.co/fEgISmD1y5,-0.9136,0.084,0.478,0.438
40,BBCBreaking,05/24/2018,"""You talk about your nuclear capabilities, but ours are so massive and powerful that I pray to God they will never… https://t.co/NmbqVRuyAV",0.8656,0.35,0.0,0.65
41,BBCBreaking,05/24/2018,"In letter to Kim Jong-un, President Trump says ""tremendous anger and open hostility"" displayed in North Korea state… https://t.co/4P6aLp1LXE",-0.802,0.0,0.298,0.702
42,BBCBreaking,05/24/2018,"US-North Korea summit will not take place, Donald Trump says https://t.co/Kzej5c101k",0.0,0.0,0.0,1.0
43,BBCBreaking,05/24/2018,Army sergeant Emile Cilliers guilty of trying to murder his wife by tampering with her parachute https://t.co/OdTAyBSJZo,-0.8176,0.0,0.333,0.667
44,BBCBreaking,05/24/2018,"North Korea appears to have blown up tunnels at its only nuclear test site, a key move to reducing regional tensions https://t.co/s92Pw9KS4O",-0.4019,0.0,0.119,0.881
45,BBCBreaking,05/24/2018,A couple have been found guilty of murdering their French au pair and burning her body in their garden https://t.co/8r6yRdCG4B,-0.7964,0.0,0.295,0.705
46,BBCBreaking,05/24/2018,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/yLua7Ztfui",-0.8402,0.0,0.348,0.652
47,BBCBreaking,05/24/2018,"A couple have been found guilty of murdering their French au pair and burning her body in their London garden

https://t.co/ZRwyexYiwh",-0.7964,0.0,0.283,0.717
48,BBCBreaking,05/24/2018,"A missile fired at flight MH17 in 2014, killing 298 people, belonged to a Russian brigade, investigators say https://t.co/D8VQAg3Ca1",-0.8402,0.0,0.348,0.652
49,BBCBreaking,05/23/2018,"Man arrested in Hertfordshire on suspicion of preparing terrorist acts, police say https://t.co/SCbyRXldte",-0.886,0.0,0.51,0.49
50,BBCBreaking,05/23/2018,"Yulia Skripal, poisoned daughter of Russian ex-spy Sergei, says she is lucky to be alive after attack https://t.co/Pe34d0cCOr",-0.2263,0.21,0.245,0.545
51,BBCBreaking,05/23/2018,"After the alleged payment to Cohen for White House talks, Ukraine’s Anti Corruption Bureau drops Paul Manafort inve… https://t.co/uZrdnv8IBK",-0.3182,0.0,0.113,0.887
52,BBCBreaking,05/23/2018,"Cohen received at least $400,000 to fix talks between Ukraine’s Poroshenko and President Trump – intelligence sourc… https://t.co/WAWUjJQmHP",0.4767,0.162,0.0,0.838
53,BBCBreaking,05/23/2018,"BBC Exclusive: Trump lawyer Michael Cohen “paid by Ukraine” to arrange White House talks in June 2017

https://t.co/NsfSjRzEzJ",0.128,0.081,0.0,0.919
54,BBCBreaking,05/23/2018,"Berlinah Wallace given life sentence with minimum term of 12 years for throwing sulphuric acid over former partner,… https://t.co/hu686gzzht",0.0772,0.067,0.0,0.933
55,BBCBreaking,05/23/2018,"RT @BBCSport: 🔴 Confirmed 🔴

Arsenal have announced Unai Emery as Arsene Wenger's successor.

More here👉 https://t.co/x1kOq2Nos3 https://t.…",0.2263,0.112,0.0,0.888
56,BBCBreaking,05/23/2018,"""There has been a change in customer shopping habits"" - Marks and Spencer Chief Executive Steve Rowe on 62% fall in… https://t.co/3bTbpSQHid",0.0,0.0,0.0,1.0
57,BBCBreaking,05/23/2018,"""The great American novelist of our postwar world"" - Tributes paid to novelist Philip Roth, who has died aged 85 https://t.co/vaxhh5ZPCe",0.128,0.16,0.14,0.7
58,BBCBreaking,05/22/2018,President Trump says his historic summit with North Korea's Kim Jong-un next month may be delayed https://t.co/bzBWdJINR0,-0.2263,0.0,0.106,0.894
59,BBCBreaking,05/22/2018,"Supermarket giant Tesco plans to close its Tesco Direct website, putting 500 jobs at risk https://t.co/QiEbKrn4aG",-0.2732,0.0,0.123,0.877
60,BBCBreaking,05/22/2018,UK holds a minute's silence to remember the victims of the #ManchesterArena attack one year on… https://t.co/pV1AULBovR,-0.6597,0.0,0.278,0.722
61,BBCBreaking,05/22/2018,"Marks and Spencer to close 100 stores by 2022 saying reorganisation ""vital"" for firm's future https://t.co/2LBhVTOMgD",0.0,0.0,0.0,1.0
62,BBCBreaking,05/21/2018,"RT @BBCSport: Arsenal are set to appoint Unai Emery as their new manager.

Read more
👉 https://t.co/Z4g4asmx3i #Arsenal https://t.co/hxcv73…",0.0,0.0,0.0,1.0
63,BBCBreaking,05/21/2018,"Ken Livingstone says he is resigning from the Labour party amid anti-Semitism row
https://t.co/Pv17B4rd7I",0.2023,0.163,0.114,0.723
64,BBCBreaking,05/21/2018,"Duke and Duchess of Sussex release official photographs from their wedding day

https://t.co/6yvDshkVs8… https://t.co/SEEvwJlnXr",0.0,0.0,0.0,1.0
65,BBCBreaking,05/21/2018,A 72-second silence in memory of the victims marks the beginning of inquiry into Grenfell Tower fire https://t.co/yw2uIVMiyh,-0.5719,0.0,0.239,0.761
66,BBCBreaking,05/21/2018,"Jailed British-Iranian Nazanin Zaghari-Ratcliffe charged in Iran with spreading propaganda, her campaign says https://t.co/oOU3I7SkC8",-0.7184,0.0,0.389,0.611
67,BBCBreaking,05/19/2018,"One of black boxes from Boeing 737 that crashed in Havana on Friday found ""in good condition"", Cuban officials say. https://t.co/OHYW3Dsy6l",0.4404,0.127,0.0,0.873
68,BBCBreaking,05/19/2018,RT @BBCNews: Harry and his new wife Meghan have left Windsor Castle in an open-top classic sports car for their evening wedding reception a…,0.0,0.0,0.0,1.0
69,BBCBreaking,05/19/2018,"RT @BBCSport: CHELSEA HAVE WON THE FA CUP! 🏆

They've beaten Man Utd 1-0.

Party time for the Blues 🎉

👉 https://t.co/zzvVrq4qSz #FACupFina…",0.6833,0.273,0.103,0.624
70,BBCBreaking,05/19/2018,"RT @BBCSport: Full-Time: Celtic 2-0 Motherwell. 

Celtic complete back-to-back trebles by clinching the Scottish Cup. Goals from Callum McG…",0.0,0.0,0.0,1.0
71,BBCBreaking,05/19/2018,Enormous crowds greet the Duke &amp; Duchess of Sussex as #harryandmeghan head up Long Walk and back to Windsor Castle… https://t.co/pIohUoEeqa,0.3182,0.103,0.0,0.897
72,BBCBreaking,05/19/2018,"The royal couple leave St George's Chapel - and here's the kiss!

https://t.co/XbDbyZPqJN #royalwedding https://t.co/wpcWWl3aDL",0.4389,0.19,0.074,0.737
73,BBCBreaking,05/19/2018,"The royal couple have made their vows and exchanged rings.

Harry &amp; Meghan are married! 🎉

https://t.co/XbDbyZPqJN… https://t.co/n9C0CnBYRV",0.0,0.0,0.0,1.0
74,BBCBreaking,05/19/2018,And the bride arrives - Meghan Markle emerges into bright May sunshine at St George's Chapel… https://t.co/TJCRTwy4KG,0.7269,0.303,0.0,0.697
75,BBCBreaking,05/19/2018,A stunning sight! Meghan Markle's car drives down Long Walk to Windsor Castle ahead of the #royalwedding… https://t.co/L2YsIw0oFY,0.4389,0.153,0.0,0.847
76,BBCBreaking,05/19/2018,"Prince Harry arrives at Windsor Castle with his brother and best man, Prince William

https://t.co/XbDbz071Bl… https://t.co/i6YdflPlVE",0.6369,0.219,0.0,0.781
77,BBCBreaking,05/19/2018,The first glimpse of bride Meghan Markle as she leaves Cliveden House Hotel for Windsor Castle… https://t.co/Itztp6zP8I,0.0,0.0,0.0,1.0
78,BBCBreaking,05/19/2018,"Prince Harry &amp; Meghan Markle will become the Duke &amp; Duchess of Sussex on #royalwedding day, Buckingham Palace annou… https://t.co/3Jzux7S7Tl",0.0,0.0,0.0,1.0
79,BBCBreaking,05/18/2018,"10 people have died, and another 10 were injured in shooting at Santa Fe High School - Texas Governor Greg Abbott s… https://t.co/rILeNeQhke",-0.743,0.0,0.24,0.76
80,BBCBreaking,05/18/2018,"More than 100 people feared dead after a Boeing 737 airliner crashed and exploded near Havana airport, Cuban state… https://t.co/uk73F47FkS",-0.8176,0.0,0.306,0.694
81,BBCBreaking,05/18/2018,"Boeing 737 crashes shortly after take-off from Havana, Cuban media report https://t.co/VwVZvReA7h",0.0,0.0,0.0,1.0
82,BBCBreaking,05/18/2018,"""I just ran as fast as I could"" - Santa Fe High School students describe shooting incident in Texas that has left u… https://t.co/Ek2vfRZaMo",0.0,0.0,0.0,1.0
83,BBCBreaking,05/18/2018,"Santa Fe High School shooting update:

- Between eight and 10 people killed in incident, say police
- Majority of d… https://t.co/655gYTdsos",-0.6705,0.0,0.191,0.809
84,BBCBreaking,05/18/2018,"""This has been going on too long in our country, too many years, too many decades now"" - President Trump on reports… https://t.co/L27O1tVHmU",0.0,0.0,0.0,1.0
85,BBCBreaking,05/18/2018,"""Multiple people have died"" - @BBCJamesCook gives the latest on the Santa Fe High School shooting… https://t.co/TxEKQetc7s",-0.5574,0.0,0.194,0.806
86,BBCBreaking,05/18/2018,"At least eight people are dead after a shooting at Santa Fe High School in Texas, reports say https://t.co/qwC5MN8BLM",-0.6486,0.0,0.202,0.798
87,BBCBreaking,05/18/2018,Russian ex-spy Sergei Skripal has been discharged from hospital after being poisoned with a nerve agent in Salisbury https://t.co/m09vK9vPg5,-0.4939,0.0,0.158,0.842
88,BBCBreaking,05/18/2018,"The Prince of Wales will accompany Meghan Markle down the aisle, Kensington Palace confirms https://t.co/lF1tHcOJ2I #royalwedding",0.0,0.0,0.0,1.0
89,BBCBreaking,05/17/2018,Explosive eruption at Hawaii’s Kilauea volcano sends ash thousands of metres into the sky https://t.co/DunkpP2Xpu,0.0,0.0,0.0,1.0
90,BBCBreaking,05/17/2018,"Kasim Lewis, 31, jailed for life with a minimum of 29 years at Old Bailey for murdering 22-year-old barmaid Iuliana… https://t.co/CL9DGlheZt",-0.8176,0.0,0.294,0.706
91,BBCBreaking,05/17/2018,Berlinah Wallace found guilty of throwing corrosive substance with intent at Bristol Crown Court after injuring for… https://t.co/jXEDp1FCkj,-0.4215,0.0,0.141,0.859
92,BBCBreaking,05/17/2018,"Berlinah Wallace, 48, cleared of killing boyfriend in acid attack in Bristol in 2015 https://t.co/mG58fZAScs",-0.7964,0.067,0.359,0.574
93,BBCBreaking,05/17/2018,"UK government to consult on banning flammable cladding, after Grenfell review stopped short of recommending ban https://t.co/MEckLQ9heM",-0.6705,0.0,0.268,0.732
94,BBCBreaking,05/17/2018,"Meghan Markle says she hopes her father ""can be given the space he needs to focus on his health""… https://t.co/J1fkcc7X1M",0.4215,0.128,0.0,0.872
95,BBCBreaking,05/17/2018,Meghan Markle says her father will not now be attending her wedding to Prince Harry on Saturday https://t.co/g5w2J6kr2V,0.0,0.0,0.0,1.0
96,BBCBreaking,05/17/2018,"Grenfell Tower fire review concludes indifference and ignorance led ""race to the bottom"" in building safety practic… https://t.co/haedS7P28u",-0.3182,0.122,0.266,0.611
97,BBCBreaking,05/17/2018,"UK retailer Mothercare says it is to shut 50 stores as part of a restructuring plan, resulting in
hundreds of job l… https://t.co/mRqaZEXXH8",0.0,0.0,0.0,1.0
98,BBCBreaking,05/17/2018,"The maximum bet on fixed-odds betting terminals will be reduced from £100 to £2, the government says https://t.co/wLmS7JM1EO",0.0,0.0,0.0,1.0
99,BBCBreaking,05/16/2018,Oxfam chief executive Mark Goldring to stand down after scandal over claims of sexual misconduct by staff in Haiti https://t.co/8xQExjxF8t,-0.4404,0.0,0.132,0.868
100,CBSNews,06/04/2018,A San Diego officer accidentally shot himself while pursuing a hit-and-run suspect brandishing a weapon was eventua… https://t.co/0lW5wq4S6D,-0.7003,0.0,0.362,0.638
101,CBSNews,06/04/2018,"Delta Air Lines is ""conducting a thorough review of the situation"" after a Pomeranian on a flight from Newark to Ph… https://t.co/yptBqi6CPL",0.0,0.0,0.0,1.0
102,CBSNews,06/04/2018,"Jury acquits deputy, awards $4 to family in wrongful death suit of 30-year-old father https://t.co/Ox6TNQdmbg https://t.co/79JaEc6iKC",-0.2023,0.195,0.186,0.619
103,CBSNews,06/04/2018,Indiana police officers gather for the high school graduation of the daughter of a fallen trooper… https://t.co/NCJl207aYg,-0.3612,0.0,0.143,0.857
104,CBSNews,06/04/2018,Brush fire forces thousands to evacuate parts of Southern California https://t.co/4LzRj0Rf6e,-0.34,0.0,0.194,0.806
105,CBSNews,06/04/2018,"""It's not one person and then it stops"": Lara Logan breaks silence on her sexual assault during the Egyptian Revolu… https://t.co/ZiC7I9xjJv",-0.5859,0.0,0.16,0.84
106,CBSNews,06/04/2018,"Fourth-grader's rendition of John Lennon's ""Imagine"" goes viral https://t.co/c26K8vFaee https://t.co/3xvCNtxJGq",0.0,0.0,0.0,1.0
107,CBSNews,06/04/2018,Music of the streets: New York City's public pianos https://t.co/y3yK0f4CK0 https://t.co/UtTaa3Gyxx,0.0,0.0,0.0,1.0
108,CBSNews,06/04/2018,Woman who went into labor during final exam graduates from Harvard Law School with her daughter in her arms… https://t.co/Pku4PaN5I0,0.0,0.0,0.0,1.0
109,CBSNews,06/03/2018,"Remembering 1968: Robert F. Kennedy, and a generation's loss https://t.co/Iqkap0ukfn https://t.co/6pV5NHsY6I",-0.3182,0.0,0.204,0.796
110,CBSNews,06/03/2018,"""I'm an old dog, and this is a new trick"": Bill Clinton and James Patterson have co-authored a political thriller.… https://t.co/zp5ykvgxwJ",0.0,0.0,0.0,1.0
111,CBSNews,06/03/2018,Roadside America: A tiny slice of Americana https://t.co/fLkaPdSaXu https://t.co/8HnBu63nqY,0.0,0.0,0.0,1.0
112,CBSNews,06/03/2018,"Not your average graduating senior, WWII veteran Roland Martineau missed getting his diploma in 1942, and finally g… https://t.co/RqdaZwOVmQ",-0.296,0.0,0.109,0.891
113,CBSNews,06/03/2018,Jim Gaffigan on why he doesn't care about the Triple Crown https://t.co/Y94n9ZOhpA https://t.co/ChWa1kxAsn,-0.3875,0.0,0.18,0.82
114,CBSNews,06/03/2018,Bill Clinton and James Patterson co-author a political beach read https://t.co/mnHzkH507L https://t.co/ceFhuDkqCP,0.0,0.0,0.0,1.0
115,CBSNews,06/03/2018,"High school senior Tyler Solomon was moved to tears when his dad, who has been deployed overseas, surprised him at… https://t.co/ieSaL2Pk3c",0.0,0.083,0.083,0.833
116,CBSNews,06/03/2018,"The war in Afghanistan is the longest in US history. After over 16 years, a trillion dollars and 2400 American live… https://t.co/AJEhgD5IVI",-0.5994,0.0,0.163,0.837
117,CBSNews,06/03/2018,"Tonight on @60Minutes, meet Milwaukee Bucks star Giannis Antetokounmpo. Steve Kroft reports on the 23-year-old whos… https://t.co/n1yKVJV93K",0.0,0.0,0.0,1.0
